COD_CHAV_CORO_CLIE,NOM_IDEF_PESS,NUM_CPF_CNPJ,COD_TIPO_PESS,DAT_NASC,DAT_RFRC
7b4dceb95958e1d87c5b262933c03ac9a29c1298,IVO TAKEDA,72618999268,F,19550416,20231119
b3140cab3fb980329130279c8e994bc524ff4ddc,ALFREDO NAZARIO,77540679504,F,19990122,20231119
f6b676ed24d482d1a251f6f547e5ffef37554a14,RAUL LINHARES,11364296089,F,19760313,20231119
cc1c96d23d0a1f4887aed32d608434cd6d8c9789,GERALDO PIRES,54238165065,F,19520126,20231119
a57de7f5821154f621b2d79ddb7431b693150d43,CLEITON LEITAO,21124296072,F,19540925,20231119
ba4127e191cf8f6df25541ac1bf4314e816bd34e,ANDRE AMBROSIO,30298258381,F,19540214,20231119
f504865e7e1ed5287c0264ea5284e96d2d93ba89,ARNALDO PADILHA,43039183508,F,19810613,20231119
62529704a7fb887ad2b1442a6ad8f2c891207f19,IVO ZANETTI,78482139002,F,19650311,20231119
3ff378c034c365786dc96a731fa3a737e7b1ef91,PABLO CAMERON,70271148840,F,19970821,20231119
aaae803f3309c441d51b5df463186f3adddecfcc,ROBBIE NORRIS,39562695241,F,19921027,20231119
392df2eb36a19e5c1d1a322e4bb3be22a86a39bb,MARION JOHNSTON,35954092315,F,19920209,20231119
7b9e29fbb146df2e4a5edcd4e9efa72afdd65513,TREVOR WARD,59600861890,F,19901126,20231119
ffd396b9e3656c19a3ff3150c9182dfee8631925,SONNY AVILA,60334627497,F,19850104,20231119
b272cbeb185e4c01efba1196f0e775181ce290b0,VERNON HAWKINS,39302896356,F,19730111,20231119
3974466ee457a2f1c05914359b8ddb4dd330fc96,JOSE MORAIS,10352219505,F,19860116,20231119
27afee5167ad9582532da0c15f185313552260ae,TADEU GONCALVES,52788016216,F,19751110,20231119
cedabf11bcfcfd5899fd04e05d3aefffcc867148,RAFAEL SANTOS,57158361415,F,19971021,20231119
778ab09b8734b0601bcfa3fac176b5d9da689e3d,EDUARDO GONCALVES,05204602619,F,19840115,20231119
47a49716416c8780a0a0042a663977a5521af800,FABRICIO PASCHOAL,91405317400,F,19540614,20231119
8595561ddba1326223f9c1a2fce26f43859cfb9c,SAULO SOUZA,06719090463,F,19530913,20231119
4f90673d6d26fdad8a7047d64c5c17ae36c49e19,SILVIO BOAVENTURA,43947086069,F,20020327,20231119
793088bf7feee345578b79b00b9aa85dade01672,OSCAR PEDROSO,36551912859,F,19750123,20231119
80f61ca6ec056691ec0116ab78a048a6df7f2fb9,ARNALDO MOREIRA,83956280069,F,20011125,20231119
31081315102b6d56474c65540ae4480ce32c3375,SIDNEI REZENDE,23879195066,F,19720909,20231119
143ff0cc624c36982c1c37493579ba798c2fd115,OSVALDO SA,24175744692,F,19720910,20231119
e62d72b260436d7122970ef70ca59b5a4344f55d,CAIO LEITAO,46298730775,F,19620316,20231119
bb236302bb186219bd13a4a7b1cc5be181b744c0,GABRIEL HAMAMURA,75908851496,F,19840212,20231119
dceb09bc083e9bbbcaecd822bae04c07b460b00d,RENATO COSTA,34574877659,F,19951106,20231119
7a5f6833ce3e27b243ff33cf62b6d76d5a8af80b,LORENZO ESTEVES,89497667472,F,19950214,20231119
190d4e907e423985000f9ab449c09176b0f5b336,ROMEU LIMA,64095265700,F,19910524,20231119
1e69f0d9a7417345a53586b3ac23ba4b45ee6b72,MATEUS BRITO,61992228918,F,19910622,20231119
2d4551163d413f3bb131517c8de84f16d525472b,DIEGO PEREIRA,26389169858,F,19610627,20231119
bc9a5a94ae403c6922d1c9ef838a725d8234f9f1,ANDRE SARAIVA,28705565853,F,19910621,20231119
8d055953878f9623acbe668a6fd4dca8cdf3f142,DAVI HASHIMOTO,12196790086,F,19540527,20231119
5583ac72407bd1e408beea149c0aedc5723c26f7,TIAGO HAMAMURA,57935928546,F,19740702,20231119
220b12149be8d16ca5fc8c924b9c803f5744ea50,PEDRO FONSECA,47330273829,F,19670103,20231119
